X,Y,Z,Red,Green,Blue
412442.25908,4265863.33912,2172.22894,83,74,67
412440.73446,4265863.19782,2171.92732,151,157,157
412442.21948,4265863.40663,2172.17672,193,199,197
412439.79839,4265863.14855,2171.67036,191,197,195
412440.50213,4265863.05316,2171.72537,194,198,197
412444.24793,4265863.43721,2172.34784,76,30,15
412439.99173,4265863.13348,2171.60083,187,193,191
412439.97165,4265863.21226,2171.59430,198,207,206
412439.87051,4265863.13694,2171.24429,176,185,184
412439.92427,4265863.22928,2171.25507,176,185,184
412440.54982,4265863.16172,2171.30174,111,90,69
412445.29491,4265863.54721,2171.20193,30,26,25
412439.80924,4265863.08667,2170.77404,154,158,157
412440.77414,4265863.39676,2170.69172,65,79,80
412443.15317,4265863.51496,2170.58411,182,191,190
412442.99926,4265863.36460,2170.38718,185,191,189
412441.37953,4265863.23636,2170.29976,185,191,189
412442.26640,4265863.31241,2170.24147,198,207,206
412440.11247,4265863.10384,2170.26517,130,110,85
412441.87149,4265863.24482,2170.11686,208,214,212
412442.84088,4265863.35766,2170.00859,195,204,203
412443.79349,4265863.42542,2169.97797,167,173,173
412440.30833,4265863.15659,2170.13119,196,205,200
412441.92834,4265863.25288,2170.01165,182,188,184
412439.95142,4265863.14506,2170.11646,164,170,166
412444.63262,4265863.44426,2169.57213,157,147,135
412446.39141,4265863.27817,2169.33612,18,12,12
412449.65147,4265863.55632,2169.03314,51,56,36
412439.82262,4265863.12308,2169.87586,174,178,177
412442.38365,4265863.27932,2169.61563,150,133,117
412445.75342,4265863.52032,2169.07520,134,118,102
412445.55579,4265863.53181,2169.04854,149,131,117
412446.22104,4265863.51861,2168.96423,20,12,10
412444.80869,4265863.48883,2169.09104,179,163,148
412447.48584,4265861.92049,2168.92356,149,132,124
412439.64753,4265863.03376,2169.73001,191,184,168
412440.58809,4265863.09734,2169.50284,134,97,79
412440.24263,4265863.10522,2169.44023,187,171,156
412443.93593,4265862.82197,2168.93510,40,20,19
412443.81557,4265863.10119,2168.91510,22,10,10
412440.32489,4265863.10420,2169.40301,58,45,36
412443.95514,4265862.31497,2168.90525,96,81,74
412442.68419,4265863.32149,2168.94931,131,112,98
412439.70883,4265863.04688,2169.45468,142,116,103
412440.07393,4265862.55648,2169.44529,172,150,113
412441.37550,4265863.01498,2169.16346,41,30,24
412443.06014,4265863.15632,2168.87039,108,100,81
412439.84391,4265863.03484,2169.40758,149,128,101
412443.27182,4265862.53115,2168.90026,53,54,36
412442.94657,4265863.18013,2168.85997,112,102,90
412442.72899,4265861.31746,2169.13700,118,108,99
412440.92837,4265863.10908,2169.16964,188,177,159
412442.78312,4265862.19540,2168.93279,101,99,76
412441.16734,4265863.11650,2169.07061,157,136,115
412439.99586,4265862.38655,2169.34837,45,25,16
412442.10149,4265862.34910,2168.91585,136,123,91
412440.02384,4265862.39944,2169.25957,23,24,26
412440.90062,4265862.61797,2168.90726,175,177,174
412441.13142,4265861.77069,2168.93265,167,169,164
412441.22892,4265861.60468,2168.92288,141,142,134
412440.48670,4265862.37782,2168.91800,170,171,166
412440.99954,4265861.66885,2168.92474,137,134,129
412440.82676,4265861.46161,2168.87059,122,113,106
412439.96020,4265862.36640,2168.90980,166,171,167
412439.16115,4265862.16437,2169.01293,81,73,71
412439.55653,4265861.97778,2168.90890,114,115,110
412440.02840,4265861.40273,2168.85413,149,151,148
412439.75601,4265860.82700,2168.92714,141,134,128
412439.20116,4265861.75094,2168.86980,143,142,137
412440.00848,4265860.00109,2168.95715,64,57,41
412439.62536,4265860.58921,2168.92130,120,113,107
412438.96781,4265861.41302,2168.84415,118,119,121
412440.00447,4265860.69574,2168.66660,64,62,47
412438.69633,4265861.29378,2168.89264,75,76,80
412439.27263,4265860.54922,2168.89609,56,52,40
412438.65175,4265861.11936,2168.94559,91,94,101
412438.64106,4265861.27867,2168.89076,96,101,105
412438.78136,4265861.13186,2168.81116,55,58,65
412439.08133,4265860.26694,2168.91256,96,94,79
412438.81933,4265860.87489,2168.79425,111,117,117
412440.41206,4265862.78240,2172.52535,95,65,54
412440.22671,4265862.77602,2172.45791,107,74,57
412441.94446,4265863.22977,2172.40824,17,15,18
412441.78403,4265863.24517,2172.20791,71,58,49
412440.55123,4265863.18536,2171.92510,197,203,201
412440.29057,4265863.16911,2171.68520,148,153,156
412439.63554,4265863.07348,2171.45899,191,197,195
